,Name,Gender,Born in,Birth,Death,Age,Movies/Series
449,Shailene Woodley,F,"Simi Valley, California, USA",15/11/1991,Alive,30.0,41
450,Hunter Schafer,F,"Trenton, New Jersey, USA",31/12/1999,Alive,22.0,4
451,Emily Baldoni,F,"Uppsala, Uppsala län, Sweden",3/8/1984,Alive,38.0,46
452,David Thewlis,M,"Blackpool, Lancashire, England, UK",20/3/1963,Alive,59.0,104
453,Eve Best,F,"London, England, UK",31/7/1971,Alive,51.0,29
454,Marlon Brando,M,"Omaha, Nebraska, USA",3/4/1924,1/7/2004,80.0,48
455,Alexa PenaVega,F,"Miami, Florida, USA",27/8/1988,Alive,33.0,99
456,Rebecca Hall,F,"London, England, UK",3/5/1982,Alive,40.0,46
457,Theo James,M,"Oxford, Oxfordshire, England, UK",16/12/1984,Alive,37.0,34
458,Carla Gugino,F,"Sarasota, Florida, USA",29/8/1971,Alive,50.0,104
459,Jake McLaughlin,M,"Paradise, California, USA",7/10/1982,Alive,39.0,39
460,Kirsten Dunst,F,"Point Pleasant, New Jersey, USA",30/4/1982,Alive,40.0,87
461,Reese Witherspoon,F,"New Orleans, Louisiana, USA",22/3/1976,Alive,46.0,65
462,James Franco,M,"Palo Alto, California, USA",19/4/1978,Alive,44.0,150
463,Adam Driver,M,"San Diego, California, USA",19/11/1983,Alive,38.0,50
464,Brandon Perea,M,"Chicago, Illinois, USA",25/5/1995,Alive,27.0,10
465,Amy Ryan,F,"Queens, New York City, New York, USA",3/5/1968,Alive,54.0,71
466,Scott Grimes,M,"Lowell, Massachusetts, USA",9/7/1971,Alive,51.0,62
467,Bradley Cooper,M,"Philadelphia, Pennsylvania, USA",5/1/1975,Alive,47.0,67
468,Milla Jovovich,F,"Kiev, Ukrainian SSR, USSR [now Ukraine]",17/12/1975,Alive,46.0,60
469,Ted Cassidy,M,"Pittsburgh, Pennsylvania, USA",31/7/1932,16/1/1979,46.0,75
470,Sam Reid,M,Australia,19/2/1987,Alive,35.0,29
471,Simon Pegg,M,"Gloucester, Gloucestershire, England, UK",14/2/1970,Alive,52.0,112
472,Honeysuckle Weeks,F,"Cardiff, Wales, UK",1/8/1979,Alive,43.0,27
473,Kit Harington,M,"London, England, UK",26/12/1986,Alive,35.0,24
474,George Clooney,M,"Lexington, Kentucky, USA",6/5/1961,Alive,61.0,81
475,John Travolta,M,"Englewood, New Jersey, USA",18/2/1954,Alive,68.0,86
476,Ewan McGregor,M,"Perth, Perthshire, Scotland, UK",31/3/1971,Alive,51.0,96
477,Katee Sackhoff,F,"Portland, Oregon, USA",8/4/1980,Alive,42.0,64
